Topic	ANSWER	Questions
Computer Science	IDLE	What is the integrated development environment called in Python?
Computer Science	Fixed program computers	What kind of computers are made to solve a specific problem?
Computer Science	Imperative knowledge	What kind of knowledge shows how to solve a problem?
Computer Science	str	What term does Python use to represent characters?
Computer Science	int	What term does Python use to represent integers?
Computer Science	Plot artillery trajectories	What was the Atanasoff and Berry Computer (ABC) designed to do?
Computer Science	Arithmetic logic unit (ALU)	While running the code a = 3 + 1, which computer component performs the addition?
Computer Science	Because transistors only deals with on/off states	Why does a computer use the binary system instead of the metric system?
Ecology	Low-iron pellets	A good way to prevent toucans from contracting hemochromatosis is to feed them ______.
Ecology	Toys	Aside from food, what should owners provide to their pet toucans?
Ecology	Parrots	During the late 70's and 80's, the popularity of toucans was replaced by another bird. What is it?
Ecology	During the 50s-80s	During what period was toucan sold in pet shops in the US?
Ecology	A flock of toucans	Imagine you travel to South America to get a glimpse of toucans in the wild. Are you more likely to see a solitary toucan or a flock of them?
Ecology	The Wild Bird Conservation Act (WBCA)	In 1992, Congress passed an Act that restricts importation of endangered birds. What is it? (you may use abbreviation)
Ecology	Around the eyes	Toucans are covered entirely by feathers except the bill, feet, and ___________.
Ecology	$10,000 	Toucans are rare and expensive nowadays. A toucan can cost about ____________.
Ecology	Helps them avoid predators	Toucans' feathers help them blend in with their environments, which serves what survival function?
Ecology	honeycombs	What are the insides of a toucan's bill shaped like?
Ecology	18 years	What is the average life span of a toucan in captivity?
Ecology	Toco toucan	What is the name of the largest toucan species?
Ecology	Fruits	What is the primary food in a toucan's diet?
Ecology	The size of the species/body	What is the size of a toucan's bill related to?
Ecology	Penicillamine	What is typically used to treat hemochromatosis in humans?
Ecology	A vegetarian diet	What kind of diet contains iron with low bioavailability?
Ecology	A blood sample (for a DNA test)	What method is used to determine the sex of a toucan?
Ecology	Phlebotomy	What treatment is used when a toucan is diagnosed with hemochromatosis?
Ecology	Female (because they are more likely to treat it as a gift)	When a male and a female toucans toss berries at each other, who is more likely to keep/eat the berry?
Ecology	Toucans have difficulty flying	When visiting a tropical locale, you're more likely to spot a toucan in a treetop rather than flying through the air. Why?
Ecology	Tree holes	Where do toucans sleep?
Ecology	South America	Which continent are most toucans from?
Ecology	Wild toucans eat fresh fruit (which is low in bioavailability)	Why would a wild toucan be less likely to develop hemochromatosis than a captive toucan?
